feat_idx	best_transform	params_csv	r_identity	r_best
716	identity		0.131485	0.131485
717	signed_cbrt		-0.021390	-0.118827
718	identity		0.099404	0.099404
719	identity		0.073960	0.073960
720	identity		0.000000	0.000000
721	identity		0.000000	0.000000
722	identity		0.134718	0.134718
723	identity		0.136718	0.136718
724	identity		0.141613	0.141613
725	identity		-0.052380	-0.052380
726	identity		-0.079906	-0.079906
727	signed_cbrt		-0.078554	-0.133646
728	signed_cbrt		0.006896	0.070950
729	identity		0.031009	0.031009
730	signed_cbrt		-0.027318	0.040967
731	identity		-0.062195	-0.062195
732	identity		-0.028672	-0.028672
733	identity		0.090007	0.090007
734	identity		0.102638	0.102638
735	signed_cbrt		-0.001570	0.151249
736	signed_cbrt		-0.165721	-0.209353
737	log1p		-0.152205	-0.172146
738	log1p		-0.143274	-0.154686
739	signed_cbrt		-0.053609	-0.174874
740	signed_cbrt		-0.090712	-0.210992
741	signed_cbrt		-0.093599	-0.219227
742	identity		-0.303390	-0.303390
743	identity		-0.426377	-0.426377
744	signed_cbrt		-0.266074	-0.359970
745	identity		-0.163959	-0.163959
746	signed_cbrt		-0.144678	-0.243387
747	identity		-0.322473	-0.322473
748	identity		-0.334167	-0.334167
749	identity		-0.315772	-0.315772
750	signed_cbrt		-0.094383	-0.139803
751	signed_cbrt		-0.164477	-0.221949
752	identity		0.097682	0.097682
753	identity		-0.158634	-0.158634
754	identity		0.000000	0.000000
755	identity		0.000000	0.000000
756	identity		0.000000	0.000000
757	identity		0.000000	0.000000
758	identity		0.000000	0.000000
759	identity		0.000000	0.000000
760	identity		0.000000	0.000000
761	identity		0.000000	0.000000
762	identity		0.000000	0.000000
763	identity		0.000000	0.000000
764	identity		0.000000	0.000000
765	identity		0.000000	0.000000
766	identity		0.000000	0.000000
767	identity		0.000000	0.000000
768	identity		0.000000	0.000000
769	identity		0.000000	0.000000
770	identity		0.000000	0.000000
771	identity		0.000000	0.000000
772	identity		0.000000	0.000000
773	identity		0.142458	0.142458
774	identity		0.145219	0.145219
775	identity		0.149660	0.149660
776	identity		-0.039906	-0.039906
777	identity		-0.052734	-0.052734
778	signed_cbrt		0.004259	-0.108401
779	identity		-0.089153	-0.089153
780	identity		0.102464	0.102464
781	identity		-0.042347	-0.042347
782	log1p		-0.021720	-0.029234
783	identity		-0.139698	-0.139698
784	identity		0.089992	0.089992
785	identity		0.123222	0.123222
786	signed_cbrt		-0.037946	0.077803
787	signed_cbrt		-0.206320	-0.224722
788	signed_cbrt		-0.136755	-0.164592
789	signed_cbrt		-0.120236	-0.169779
790	signed_cbrt		-0.014658	-0.195090
791	signed_cbrt		-0.044383	-0.224528
792	signed_cbrt		-0.045801	-0.229964
793	identity		-0.396442	-0.396442
794	identity		-0.489539	-0.489539
795	signed_cbrt		-0.281864	-0.394415
796	identity		-0.098556	-0.098556
797	signed_cbrt		-0.009352	-0.144197
798	identity		-0.427742	-0.427742
799	identity		-0.452430	-0.452430
800	identity		-0.435128	-0.435128
801	signed_cbrt		-0.094415	-0.140012
802	signed_cbrt		-0.150378	-0.169282
803	identity		0.111312	0.111312
804	identity		-0.104276	-0.104276
805	identity		0.000000	0.000000
806	identity		0.000000	0.000000
807	identity		0.151552	0.151552
808	identity		0.150747	0.150747
809	identity		0.152402	0.152402
810	identity		-0.020546	-0.020546
811	log1p		-0.020075	-0.025383
812	signed_cbrt		0.023944	-0.099556
813	identity		-0.067172	-0.067172
814	identity		0.128043	0.128043
815	identity		-0.032628	-0.032628
816	log1p		-0.006870	-0.015673
817	identity		-0.130575	-0.130575
